"Date","Annual wages (March CPS)","Weekly wages (March CPS)","Hourly wages (March CPS)","Annual hours worked","Weeks per year worked","Hours per week worked"
"2016","$49,092","$1,030.36","$26.07","1,883","47.65","39.52"
"2015","$48,120","$1,013.90","$25.68","1,874","47.46","39.48"
"2014","$46,697","$985.01","$24.97","1,870","47.41","39.44"
"2013","$45,687","$970.67","$24.72","1,848","47.07","39.26"
"2012","$45,458","$971.39","$24.76","1,836","46.80","39.23"
"2011","$45,578","$976.51","$24.97","1,825","46.67","39.10"
"2010","$46,068","$989.92","$25.38","1,815","46.54","39.01"
"2009","$46,195","$996.04","$25.57","1,807","46.38","38.96"
"2008","$46,166","$984.78","$25.01","1,846","46.88","39.37"
"2007","$46,530","$982.46","$24.71","1,883","47.36","39.76"
"2006","$46,522","$983.43","$24.70","1,883","47.31","39.81"
"2005","$46,240","$980.99","$24.67","1,874","47.14","39.76"
"2004","$46,008","$977.58","$24.68","1,864","47.06","39.61"
"2003","$46,640","$996.06","$25.18","1,852","46.82","39.56"
"2002","$46,223","$988.88","$24.97","1,851","46.74","39.61"
"2001","$47,053","$1,006.17","$25.29","1,860","46.76","39.78"
"2000","$46,546","$991.46","$24.81","1,876","46.95","39.97"
"1999","$46,194","$989.91","$24.77","1,865","46.66","39.96"
"1998","$44,876","$960.90","$24.07","1,864","46.70","39.91"
"1997","$43,173","$931.67","$23.44","1,842","46.34","39.75"
"1996","$41,712","$905.30","$22.79","1,830","46.08","39.72"
"1995","$41,391","$900.93","$22.66","1,827","45.94","39.76"
"1994","$41,302","$906.66","$22.95","1,800","45.55","39.51"
"1993","$40,181","$886.00","$22.49","1,787","45.35","39.40"
"1992","$39,790","$877.52","$22.36","1,779","45.34","39.24"
"1991","$38,991","$862.50","$22.02","1,771","45.21","39.17"
"1990","$39,311","$866.28","$22.04","1,784","45.38","39.31"
"1989","$40,217","$886.14","$22.55","1,783","45.38","39.29"
"1988","$39,648","$876.19","$22.44","1,767","45.25","39.05"
"1987","$38,870","$864.61","$22.14","1,755","44.96","39.04"
"1986","$38,602","$864.88","$22.21","1,738","44.63","38.94"
"1985","$37,341","$839.73","$21.65","1,725","44.47","38.78"
"1984","$36,433","$823.70","$21.34","1,707","44.23","38.59"
"1983","$35,630","$812.84","$21.28","1,675","43.83","38.20"
"1982","$35,316","$814.91","$21.38","1,652","43.34","38.11"
"1981","$35,423","$811.13","$21.17","1,673","43.67","38.31"
"1980","$35,975","$823.67","$21.35","1,685","43.68","38.59"
"1979","$36,992","$843.60","$21.73","1,703","43.85","38.83"
"1978","$36,687","$840.24","$21.55","1,702","43.66","38.99"
"1977","$35,998","$831.50","$21.39","1,683","43.29","38.88"
"1976","$35,448","$824.31","$21.26","1,667","43.00","38.78"
"1975","$34,936","$812.05","$21.00","1,664","43.02","38.67"
"1974","","","","","",""
"1973","$36,720","$845.32","$21.90","1,679","43.44","38.63"
"1972","","","","","",""
"1971","","","","","",""
"1970","","","","","",""
"1969","","","","","",""
"1968","","","","","",""
"1967","$31,569","$724.80","$18.42","1,716","43.54","39.32"